question,answer
do you have information about bowel movement,summary a bowel movement is the last stop in the movement of food through your digestive tract your stool passes out of your body through the rectum and anus another name for stool is feces it is made of what is left after your digestive system stomach small intestine and colon absorbs nutrients and fluids from what you eat and drink sometimes a bowel movement isnt normal diarrhea happens when stool passes through the large intestine too quickly constipation occurs when stool passes through the large intestine too slowly bowel incontinence is a problem controlling your bowel movements other abnormalities with bowel movements may be a sign of a digestive problem nih national institute of diabetes and digestive and kidney diseases
do you have information about cancer alternative therapies,summary you have many choices to make about your cancer treatment one choice you might be thinking about is complementary and alternative medicine cam cam is the term for medical products and practices that are not part of standard care examples of cam therapies are acupuncture chiropractic and herbal medicines people with cancer may use cam to help cope with the side effects of cancer treatments ease worries of cancer treatment and related stress feel that they are doing something more to help their own care cam treatments do not work for everyone some methods such as acupuncture might help with nausea pain and other side effects of cancer treatment talk to your doctor to make sure that all aspects of your cancer care work together nih national cancer institute
do you have information about cancerliving with cancer,summary cancer is common half of all men and a third of women will get a diagnosis of cancer in their lifetime many people with cancer do survive millions of americans alive today have a history of cancer for most people with cancer living with the disease is the biggest challenge they have ever faced it can change your routines roles and relationships it can cause money and work problems the treatment can change the way you feel and look learning more about ways you can help yourself may ease some of your concerns support from others is important all cancer survivors should have followup care knowing what to expect after cancer treatment can help you and your family make plans lifestyle changes and important decisions nih national cancer institute
do you have information about carbohydrates,summary carbohydrates are one of the main types of nutrients they are the most important source of energy for your body your digestive system changes carbohydrates into glucose blood sugar your body uses this sugar for energy for your cells tissues and organs it stores any extra sugar in your liver and muscles for when it is needed carbohydrates are called simple or complex depending on their chemical structure simple carbohydrates include sugars found naturally in foods such as fruits vegetables milk and milk products they also include sugars added during food processing and refining complex carbohydrates include whole grain breads and cereals starchy vegetables and legumes many of the complex carbohydrates are good sources of fiber for a healthy diet limit the amount of added sugar that you eat and choose whole grains over refined grains
do you have information about cardiac rehabilitation,summary cardiac rehabilitation rehab is a medically supervised program to help people who have a heart attack angioplasty or coronary artery bypass grafting for coronary heart disease a heart valve repair or replacement a heart transplant or a lung transplant angina heart failure the goal is to help you return to an active life and to reduce the risk of further heart problems a team of specialists will create a plan for you that includes exercise training education on heart healthy living and counseling to reduce stress you will learn how to reduce your risk factors such as high blood pressure high blood cholesterol depression and diabetes being overweight or obese smoking and not exercising are other risk factors nih national heart lung and blood institute
do you have information about caregivers,summary caregivers provide help to another person in need the person receiving care may be an adult often a parent or a spouse or a child with special medical needs some caregivers are family members others are paid they do many things shop for food and cook clean the house pay bills give medicine help the person go to the toilet bathe and dress help the person eat provide company and emotional support caregiving is hard and caregivers of chronically ill people often feel stress they are on call 24 hours a day 7 days a week if youre caring for someone with mental problems like alzheimers disease it can be especially difficult support groups can help dept of health and human services office on womens health
do you have information about child care,summary childrens healthy development depends on safe and positive experiences when they are very young if you work or go to school you want to know that your child is in good hands while you are away you may choose inhome care where the caregiver comes to your home or your child might go to the caregivers home finally there are child care centers you need to choose the one that works for your family it is important to get to know your childs caregivers they will be a big part of your childs life the caregivers training should involve knowledge of how young children learn and grow positive consistent discipline knowledge of the signs that a child is sick cleanliness and safety practices to help keep kids from getting sick or hurt basic first aid
do you have information about child dental health,summary healthy teeth are important to your childs overall health from the time your child is born there are things you can do to promote healthy teeth and prevent cavities for babies you should clean teeth with a soft clean cloth or babys toothbrush avoid putting the baby to bed with a bottle and check teeth regularly for spots or stains for all children you should start using a peasized amount of fluoride toothpaste when they are two years old you might start sooner if a dentist or doctor suggests it provide healthy foods and limit sweet snacks and drinks schedule regular dental checkups forming good habits at a young age can help your child have healthy teeth for life nih national institute of dental and craniofacial research
do you have information about child development,summary as children grow older they develop in several different ways child development includes physical intellectual social and emotional changes children grow and mature at very different rates its hard to say what normal is there can be big differences in height weight and build among healthy children diet exercise and genes are all factors some children begin puberty or are close to it before they are teenagers children start to become more independent from their parents they may rebel they also look outward to their friends who are usually of the same sex peer approval becomes very important your child may try new behaviors to be part of the group this can also be the time that parents or teachers recognize learning disabilities or behavioral problems in children these problems can get worse as time goes on so it is important to get help early
do you have information about child nutrition,summary a healthy diet helps children grow and learn it also helps prevent obesity and weightrelated diseases such as diabetes to give your child a nutritious diet make half of what is on your childs plate fruits and vegetables choose healthy sources of protein such as lean meat nuts and eggs serve wholegrain breads and cereals because they are high in fiber reduce refined grains broil grill or steam foods instead of frying them limit fast food and junk food offer water or milk instead of sugary fruit drinks and sodas learn about your childrens nutrient requirements some of them such as the requirements for iron and calcium change as your child ages nih national institute of diabetes and digestive and kidney diseases
do you have information about child safety,summary as parents we want to keep our children safe from harm take steps to keep your children safe install the right child safety seat in your car teach children how to cross the street safely make sure they wear the right gear and equipment for sports install and test smoke alarms store medicines cleaners and other dangerous substances in locked cabinets babyproof your home dont leave small children unattended
do you have information about childrens health,summary your childs health includes physical mental and social wellbeing most parents know the basics of keeping children healthy like offering them healthy foods making sure they get enough sleep and exercise and insuring their safety it is also important for children to get regular checkups with their health care provider these visits are a chance to check your childs development they are also a good time to catch or prevent problems other than checkups schoolage children should be seen for significant weight gain or loss sleep problems or change in behavior fever higher than 102 rashes or skin infections frequent sore throats breathing problems
do you have information about childrens page,summary kids this page is for you learn about everything from how the body works to what happens when you go to the hospital there are quizzes games and lots of cool web sites for you to explore have fun
do you have information about chiropractic,summary chiropractic is a health care profession chiropractors perform adjustments manipulations to the spine or other parts of the body the goal is to correct alignment problems ease pain and support the bodys natural ability to heal itself they may also use other treatments including heat and ice electrical stimulation relaxation techniques rehabilitative and general exercise counseling about diet weight loss and other lifestyle factors dietary supplements many people visit chiropractors for treatment of low back pain neck pain and headaches nih national center for complementary and integrative health
do you have information about circumcision,summary circumcision is the removal of the foreskin which is the skin that covers the tip of the penis in the united states it is often done before a new baby leaves the hospital there are medical benefits and risks to circumcision possible benefits include a lower risk of urinary tract infections penile cancer and sexually transmitted diseases the risks include pain and a low risk of bleeding or infection the american academy of pediatrics aap found that the medical benefits of circumcision outweigh the risks they recommend that parents make this decision in consultation with their pediatrician parents need to decide what is best for their sons based on their religious cultural and personal preferences
do you have information about cloning,summary cloning describes the processes used to create an exact genetic replica of another cell tissue or organism the copied material which has the same genetic makeup as the original is referred to as a clone the most famous clone was a scottish sheep named dolly there are three different types of cloning gene cloning which creates copies of genes or segments of dna reproductive cloning which creates copies of whole animals therapeutic cloning which creates embryonic stem cells researchers hope to use these cells to grow healthy tissue to replace injured or diseased tissues in the human body nih national human genome research institute
do you have information about cochlear implants,summary a cochlear implant is a small complex electronic device that can help to provide a sense of sound people who are profoundly deaf or severely hardofhearing can get help from them the implant consists of two parts one part sits on the outside of the body behind the ear a second part is surgically placed under the skin an implant does not restore normal hearing it can help a person understand speech children and adults can benefit from them national institute on deafness and other communication disorders
do you have information about college health,summary college life involves excitement along with new challenges risks and responsibilities you are meeting new people learning new things and making your own decisions it can sometimes be stressful you have to deal with pressures related to food drink appearance drugs and sexual activity there are steps you can take to stay healthy and safe while youre in college eat a balanced diet get enough sleep get regular physical activity maintain your health with checkups and vaccinations if you decide to have sex practice safe sex make smart choices about alcohol and drugs get help if you are stressed or depressed centers for disease control and prevention
do you have information about common infant and newborn problems,summary it is hard when your baby is sick common health problems in babies include colds coughs fevers and vomiting babies also commonly have skin problems like diaper rash or cradle cap many of these problems are not serious it is important to know how to help your sick baby and to know the warning signs for more serious problems trust your intuition if you are worried about your baby call your health care provider right away
do you have information about coping with disasters,summary no matter how well you have prepared you might feel dazed or numb after going through a disaster you may also feel sad helpless or anxious in spite of the tragedy you might just feel happy to be alive it is not unusual to have bad memories or dreams you may avoid places or people that remind you of the disaster you might have trouble sleeping eating or paying attention many people have short tempers and get angry easily these are all normal reactions to stress sometimes the stress can be too much to handle alone some people have longterm problems after a disaster including posttraumatic stress disorder depression selfblame suicidal thoughts alcohol or drug abuse if your emotional reactions are getting in the way of your relationships work or other important activities talk to a counselor or your doctor treatments are available centers for disease control and prevention
do you have information about cosmetic dentistry,summary if you have stained broken or uneven teeth cosmetic dentistry can help cosmetic dentistry is different from orthodontic treatment which can straighten your teeth with braces or other devices cosmetic dental procedures include bleaching to make teeth whiter repairing chips or rough spots with fillings that match your teeth filling cavities with toothcolored materials reshaping teeth that dont match the others closing gaps between teeth covering broken teeth with porcelain crowns
do you have information about cpr,summary when someones blood flow or breathing stops seconds count permanent brain damage or death can happen quickly if you know how to perform cardiopulmonary resuscitation cpr you could save a life cpr is an emergency procedure for a person whose heart has stopped or is no longer breathing cpr can maintain circulation and breathing until emergency medical help arrives even if you havent had training you can do handsonly cpr for a teen or adult whose heart has stopped beating handsonly cpr isnt recommended for children handsonly cpr uses chest compressions to keep blood circulating until emergency help arrives if youve had training you can use chest compressions clear the airway and do rescue breathing rescue breathing helps get oxygen to the lungs for a person who has stopped breathing to keep your skills up you should repeat the training every two years
do you have information about critical care,summary critical care helps people with lifethreatening injuries and illnesses it might treat problems such as complications from surgery accidents infections and severe breathing problems it involves close constant attention by a team of speciallytrained health care providers critical care usually takes place in an intensive care unit icu or trauma center monitors intravenous iv tubes feeding tubes catheters breathing machines and other equipment are common in critical care units they can keep a person alive but can also increase the risk of infection many patients in critical care recover but some die having advance directives in place is important they help health care providers and family members make endoflife decisions if you are not able to make them
do you have information about ct scans,summary computed tomography ct is a type of imaging it uses special xray equipment to make crosssectional pictures of your body doctors use ct scans to look for broken bones cancers blood clots signs of heart disease internal bleeding during a ct scan you lie still on a table the table slowly passes through the center of a large xray machine the test is painless during some tests you receive a contrast dye which makes parts of your body show up better in the image nih national cancer institute
do you have information about dash diet,summary dash stands for dietary approaches to stop hypertension it is an eating plan that is based on research studies sponsored by the national heart lung and blood institute nhlbi these studies showed that dash lowers high blood pressure and improves levels of cholesterol this reduces your risk of getting heart disease the dash diet emphasizes vegetables fruits and fatfree or lowfat dairy products includes whole grains fish poultry beans seeds nuts and vegetable oils limits sodium sweets sugary beverages and red meats along with dash other lifestyle changes can help lower your blood pressure they include staying at a healthy weight exercising and not smoking nih national heart lung and blood institute
do you have information about dental health,summary its important to take care of your mouth and teeth starting in childhood if you dont you could have problems with your teeth and gums like cavities or even tooth loss heres how to keep your mouth and teeth healthy brush your teeth every day with a fluoride toothpaste clean between your teeth every day with floss or another type of betweentheteeth cleaner snack smart limit sugary snacks dont smoke or chew tobacco see your dentist or oral health professional regularly nih national institute of dental and craniofacial research
do you have information about diabetic diet,summary if you have diabetes your body cannot make or properly use insulin this leads to high blood glucose or blood sugar levels healthy eating helps keep your blood sugar in your target range it is a critical part of managing your diabetes because controlling your blood sugar can prevent the complications of diabetes a registered dietitian can help make an eating plan just for you it should take into account your weight medicines lifestyle and other health problems you have healthy diabetic eating includes limiting foods that are high in sugar eating smaller portions spread out over the day being careful about when and how many carbohydrates you eat eating a variety of wholegrain foods fruits and vegetables every day eating less fat limiting your use of alcohol using less salt nih national institute of diabetes and digestive and kidney diseases
do you have information about diagnostic imaging,summary diagnostic imaging lets doctors look inside your body for clues about a medical condition a variety of machines and techniques can create pictures of the structures and activities inside your body the type of imaging your doctor uses depends on your symptoms and the part of your body being examined they include xrays ct scans nuclear medicine scans mri scans ultrasound many imaging tests are painless and easy some require you to stay still for a long time inside a machine this can be uncomfortable certain tests involve exposure to a small amount of radiation for some imaging tests doctors insert a tiny camera attached to a long thin tube into your body this tool is called a scope the doctor moves it through a body passageway or opening to see inside a particular organ such as your heart lungs or colon these procedures often require anesthesia
do you have information about dialysis,summary when your kidneys are healthy they clean your blood they also make hormones that keep your bones strong and your blood healthy when your kidneys fail you need treatment to replace the work your kidneys used to do unless you have a kidney transplant you will need a treatment called dialysis there are two main types of dialysis both types filter your blood to rid your body of harmful wastes extra salt and water hemodialysis uses a machine it is sometimes called an artificial kidney you usually go to a special clinic for treatments several times a week peritoneal dialysis uses the lining of your abdomen called the peritoneal membrane to filter your blood nih national institute of diabetes and digestive and kidney diseases
do you have information about dietary fats,summary fat is a type of nutrient you need some fat in your diet but not too much fats give you energy and help your body absorb vitamins dietary fat also plays a major role in your cholesterol levels but not all fats are the same you should try to avoid saturated fats such as butter solid shortening and lard trans fats these are found in vegetable shortenings some margarines crackers cookies snack foods and other foods made with or fried in partially hydrogenated oils phos by 2018 most us companies will not be allowed to add phos to food try to replace them with oils such as canola olive safflower sesame or sunflower of course eating too much fat will put on the pounds fat has twice as many calories as proteins or carbohydrates nih national heart lung and blood institute
do you have information about dietary fiber,summary fiber is a substance in plants dietary fiber is the kind you eat its a type of carbohydrate you may also see it listed on a food label as soluble fiber or insoluble fiber both types have important health benefits good sources of dietary fiber include whole grains nuts and seeds fruit and vegetables dietary fiber adds bulk to your diet and makes you feel full faster helping you control your weight it helps digestion and helps prevent constipation most americans dont eat enough dietary fiber but add it to your diet slowly increasing dietary fiber too quickly can lead to gas bloating and cramps centers for disease control and prevention
do you have information about dietary proteins,summary protein is in every cell in the body our bodies need protein from the foods we eat to build and maintain bones muscles and skin we get proteins in our diet from meat dairy products nuts and certain grains and beans proteins from meat and other animal products are complete proteins this means they supply all of the amino acids the body cant make on its own plant proteins are incomplete you must combine different types of plant proteins to get all of the amino acids your body needs it is important to get enough dietary protein you need to eat protein every day because your body doesnt store it the way it stores fats or carbohydrates how much you need depends on your age sex health and level of physical activity most americans eat enough protein in their diet
do you have information about dietary supplements,summary dietary supplements are vitamins minerals herbs and many other products they can come as pills capsules powders drinks and energy bars supplements do not have to go through the testing that drugs do some supplements can play an important role in health for example calcium and vitamin d are important for keeping bones strong pregnant women can take the vitamin folic acid to prevent certain birth defects in their babies to take a supplement as safely as possible tell your health care provider about any dietary supplements you use do not take a bigger dose than the label recommends check with your health care provider about the supplements you take if you are going to have any type of surgery read trustworthy information about the supplement nih national institutes of health office of dietary supplements
do you have information about disaster preparation and recovery,summary preparing for a disaster can reduce the fear anxiety and losses that disasters cause a disaster can be a natural disaster like a hurricane tornado flood or earthquake it might also be manmade like a bioterrorist attack or chemical spill you should know the risks and danger signs of different types of disasters you should also have a disaster plan be ready to evacuate your home and know how to treat basic medical problems make sure you have the insurance you need including special types like flood insurance no matter what kind of disaster you experience it causes emotional distress after a disaster recovery can take time stay connected to your family and friends during this period federal emergency management agency
do you have information about drinking water,summary we all need to drink water how much you need depends on your size activity level and the weather where you live the water you drink is a combination of surface water and groundwater surface water includes rivers lakes and reservoirs groundwater comes from underground the united states has one of the safest water supplies in the world but drinking water quality can vary from place to place it depends on the condition of the source water and the treatment it receives treatment may include adding fluoride to prevent cavities and chlorine to kill germs your water supplier must give you annual reports on drinking water the reports include where your water came from and what contaminants are in it centers for disease control and prevention
do you have information about drug safety,summary in the us the governments food and drug administration fda must approve any drug before it can be sold this is true whether its a prescription or an overthecounter drug the fda evaluates the safety of a drug by looking at side effects how its manufactured results of animal testing and clinical trials the fda also monitors a drugs safety after approval for you drug safety means buying online from only legitimate pharmacies and taking your medicines correctly
do you have information about drugs and young people,summary drug abuse is a serious public health problem it affects almost every community and family in some way drug abuse in children and teenagers may pose a greater hazard than in older people this is because their brains are not yet fully developed as a result the brains of young people may be more susceptible to drug abuse and addiction than adult brains abused drugs include amphetamines anabolic steroids club drugs cocaine heroin inhalants marijuana prescription drugs there are different types of treatment for drug abuse but it is better to prevent drug abuse in the first place nih national institute on drug abuse
do you have information about electromagnetic fields,summary electric and magnetic fields emfs are areas of energy that surround electrical devices everyday sources of emfs include power lines electrical wiring microwave ovens computers cell phones some people worry about emf exposure and cancer some studies have found a link between emf exposure and a higher risk of childhood leukemia but other studies have not other studies have not found proof that emf exposure causes other childhood cancers studies in adults did not prove that emf exposure causes cancer some people worry that wireless and cellular phones cause cancer they give off radiofrequency energy rf a form of electromagnetic radiation scientists need to do more research on this before they can say for sure nih national institute of environmental health sciences
do you have information about end of life issues,summary planning for the end of life can be difficult but by deciding what endoflife care best suits your needs when you are healthy you can help those close to you make the right choices when the time comes endoflife planning usually includes making choices about the following the goals of care for example whether to use certain medicines during the last days of life where you want to spend your final days which treatments for endoflife care you wish to receive what type of palliative care and hospice care you wish to receive advance directives can help make your wishes clear to your family and health care providers
do you have information about endoscopy,summary endoscopy is a procedure that lets your doctor look inside your body it uses an instrument called an endoscope or scope for short scopes have a tiny camera attached to a long thin tube the doctor moves it through a body passageway or opening to see inside an organ sometimes scopes are used for surgery such as for removing polyps from the colon there are many different kinds of endoscopy here are the names of some of them and where they look arthroscopy joints bronchoscopy lungs colonoscopy and sigmoidoscopy large intestine cystoscopy and ureteroscopy urinary system laparoscopy abdomen or pelvis upper gastrointestinal endoscopy esophagus and stomach
do you have information about environmental health,summary our environment affects our health if parts of the environment like the air water or soil become polluted it can lead to health problems for example asthma pollutants and chemicals in the air or in the home can trigger asthma attacks some environmental risks are a part of the natural world like radon in the soil others are the result of human activities like lead poisoning from paint or exposure to asbestos or mercury from mining or industrial use nih national institute of environmental health sciences
do you have information about ergonomics,summary ergonomics looks at what kind of work you do what tools you use and your whole job environment the aim is to find the best fit between you and your job conditions examples of ergonomic changes to your work might include adjusting the position of your computer keyboard to prevent carpal tunnel syndrome being sure that the height of your desk chair allows your feet to rest flat on floor learning the right way to lift heavy objects to prevent back injuries using handle coatings or special gloves to suppress vibrations from power tools no matter what the job is the goal is to make sure that you are safe comfortable and less prone to workrelated injuries
do you have information about evaluating health information,summary millions of consumers get health information from magazines tv or the internet some of the information is reliable and up to date some is not how can you tell the good from the bad first consider the source if you use the web look for an about us page check to see who runs the site is it a branch of the government a university a health organization a hospital or a business focus on quality does the site have an editorial board is the information reviewed before it is posted be skeptical things that sound too good to be true often are you want current unbiased information based on research nih national library of medicine
do you have information about exercise and physical fitness,summary regular physical activity is one of the most important things you can do for your health it can help control your weight lower your risk of heart disease lower your risk for type 2 diabetes and metabolic syndrome lower your risk of some cancers strengthen your bones and muscles improve your mental health and mood improve your ability to do daily activities and prevent falls if youre an older adult increase your chances of living longer fitting regular exercise into your daily schedule may seem difficult at first but even ten minutes at a time is fine the key is to find the right exercise for you it should be fun and should match your abilities centers for disease control and prevention
do you have information about exercise for children,summary like adults kids need exercise most children need at least an hour of physical activity every day regular exercise helps children feel less stressed feel better about themselves feel more ready to learn in school keep a healthy weight build and keep healthy bones muscles and joints sleep better at night as kids spend more time watching tv they spend less time running and playing parents should limit tv video game and computer time parents can set a good example by being active themselves exercising together can be fun for everyone competitive sports can help kids stay fit walking or biking to school dancing bowling and yoga are some other ways for kids to get exercise
